Time (ms),Voltage (V)
0.0,64.96
13.0,307.96
26.0,589.46
39.0,594.16
53.0,390.98
66.0,277.15
79.0,246.54
93.0,184.92
106.0,132.64
119.0,123.26
133.0,139.24
146.0,157.18
159.0,105.21
173.0,-36.72
186.0,-149.71
199.0,-155.38
212.0,-131.09
226.0,-135.4
239.0,-119.42
252.0,-100.97
266.0,-162.44
279.0,-233.09
292.0,-204.19
306.0,-131.39
319.0,-97.04
332.0,-132.18
346.0,-195.92
359.0,-178.36
372.0,-106.35
386.0,-90.5
399.0,-137.46
412.0,-210.38
427.0,-252.19
440.0,-217.27
453.0,-167.12
466.0,-171.25
480.0,-186.64
493.0,-178.66
506.0,-177.34
520.0,-160.46
533.0,-124.04
546.0,-116.55
560.0,-105.03
573.0,-81.85
586.0,-126.4
600.0,-211.06
613.0,-245.32
626.0,-228.57
640.0,-167.25
653.0,-75.04
666.0,-35.8
679.0,-66.73
693.0,-88.69
706.0,-72.94
719.0,-60.2
733.0,-76.2
746.0,-90.83
759.0,-75.08
773.0,-51.73
786.0,-26.33
799.0,3.81
813.0,3.87
826.0,3.86
839.0,52.91
852.0,90.4
866.0,77.39
879.0,69.34
892.0,73.59
906.0,44.98
919.0,-5.26
932.0,-18.64
946.0,30.19
959.0,83.77
972.0,77.82
986.0,57.86
999.0,78.46
1012.0,85.32
1026.0,52.39
1039.0,46.04
1052.0,77.92
1067.0,89.18
1080.0,63.82
1093.0,49.48
1106.0,76.82
1120.0,97.12
1133.0,81.36
1146.0,88.31
1160.0,127.43
1173.0,139.71
1186.0,138.91
1200.0,164.88
1213.0,162.4
1226.0,89.78
1240.0,10.14
1253.0,3.96
1266.0,79.39
1280.0,121.05
1293.0,77.63
1306.0,79.21
1319.0,103.48
1333.0,-47.13
1346.0,-308.16
1359.0,-402.35
1373.0,-297.66
1386.0,-199.81
1399.0,-185.97
1413.0,-170.98
1426.0,-121.51
1439.0,-78.86
1453.0,-55.47
1466.0,-31.02
1479.0,-1.21
1492.0,24.75
1506.0,48.59
1519.0,98.62
1532.0,227.53
1546.0,434.73
1559.0,610.27
1572.0,654.87
1586.0,600.64
1599.0,540.8
1612.0,487.91
1626.0,405.47
1639.0,326.38
1652.0,288.59
1666.0,290.78
1679.0,326.2
1692.0,315.62
1705.0,190.05
1720.0,48.41
1733.0,5.26
1746.0,16.06
1760.0,11.58
1773.0,7.62
1786.0,9.79
1800.0,1.01
1813.0,-0.55
1826.0,0.49
1840.0,-18.47
1853.0,-36.27
1866.0,-49.51
1880.0,-74.46
1893.0,-93.4
1906.0,-102.3
1920.0,-101.1
1933.0,-58.04
1946.0,-1.21
1959.0,-21.59
1973.0,-104.94
1986.0,-147.36
1999.0,-140.06
2013.0,-136.02
2026.0,-125.51
2039.0,-96.59
2053.0,-94.99
2066.0,-140.55
2079.0,-188.84
2093.0,-185.28
2106.0,-101.16
2119.0,7.2
2132.0,19.01
2146.0,-59.8
2159.0,-101.79
2172.0,-79.2
2186.0,-75.08
2199.0,-124.58
2212.0,-171.22
2226.0,-182.66
2239.0,-203.42
2252.0,-248.25
2266.0,-304.57
2279.0,-383.55
2292.0,-448.3
2306.0,-442.9
2319.0,-403.19
2332.0,-422.32
2345.0,-482.68
2359.0,-440.35
2373.0,-299.79
2386.0,-248.66
2400.0,-306.89
2413.0,-307.97
2426.0,-223.64
2440.0,-141.87
2453.0,-31.27
2466.0,160.1
2480.0,364.5
2493.0,532.52
2506.0,647.76
2520.0,648.95
2533.0,572.6
2546.0,534.38
2560.0,515.08
2573.0,428.3
2586.0,262.46
2599.0,64.59
2613.0,-93.87
2626.0,-203.05
2639.0,-253.72
2653.0,-127.68
2666.0,121.47
2679.0,182.28
2693.0,23.04
2706.0,-45.85
2719.0,-22.11
2733.0,-157.46
2746.0,-338.16
2759.0,-292.52
2772.0,-87.46
2786.0,79.29
2799.0,175.29
2812.0,209.09
2826.0,143.67
2839.0,17.85
2852.0,-77.9
2866.0,-126.93
2879.0,-134.78
2892.0,-75.42
2906.0,25.99
2919.0,90.63
2932.0,77.77
2946.0,-1.58
2959.0,-74.33
2972.0,-41.67
2985.0,59.68
2999.0,101.16
3012.0,65.14
3026.0,23.47
3040.0,41.92
3053.0,115.38
3066.0,150.73
3080.0,132.55
3093.0,139.55
3106.0,178.77
3120.0,211.17
3133.0,217.83
3146.0,210.92
3160.0,247.24
3173.0,310.23
3186.0,298.2
3200.0,218.58
3213.0,166.83
3226.0,151.07
3239.0,123.68
3253.0,84.04
3266.0,54.22
3279.0,32.44
3293.0,8.58
3306.0,-15.69
3319.0,-36.09
3333.0,-53.43
3346.0,-70.14
3359.0,-86.09
3373.0,-100.41
3386.0,-112.91
3399.0,-123.63
3412.0,-133.17
3426.0,-141.91
3439.0,-149.34
3452.0,-155.42
3466.0,-160.11
3479.0,-163.86
3492.0,-167.09
3506.0,-169.87
3519.0,-171.61
3532.0,-172.02
3546.0,-171.76
3559.0,-171.07
3572.0,-169.6
3586.0,-167.54
3599.0,-165.2
3612.0,-161.93
3625.0,-157.59
3639.0,-153.23
3652.0,-149.64
3665.0,-236.49
3680.0,-582.55
3693.0,-1019.23
3706.0,-1086.87
3720.0,-815.18
3733.0,-639.66
3746.0,-628.24
3760.0,-571.11
3773.0,-449.3
3786.0,-361.37
3800.0,-307.95
3813.0,-243.19
3826.0,-170.43
3840.0,-110.38
3853.0,-59.2
3866.0,-6.71
3879.0,44.07
3893.0,87.52
3906.0,126.02
3919.0,163.04
3933.0,198.09
3946.0,229.76
3959.0,258.18
3973.0,283.95
3986.0,307.41
3999.0,327.68
4013.0,344.51
4026.0,359.02
4039.0,372.02
4052.0,383.26
4066.0,391.66
4079.0,398.13
4092.0,403.73
4106.0,407.73
4119.0,409.14
4132.0,408.67
4146.0,407.11
4159.0,404.47
4172.0,400.73
4186.0,395.8
4199.0,389.38
4212.0,381.89
4226.0,373.61
4239.0,364.5
4252.0,354.47
4265.0,343.75
4279.0,332.52
4292.0,320.86
4305.0,308.44
4320.0,295.0
4333.0,281.16
4346.0,267.8
4360.0,254.45
4373.0,240.16
4386.0,225.55
4400.0,211.32
4413.0,196.58
4426.0,181.19
4440.0,166.49
4453.0,152.52
4466.0,138.05
4480.0,131.77
4493.0,181.39
4506.0,329.8
4519.0,491.47
4533.0,530.78
4546.0,454.3
4559.0,356.56
4573.0,304.0
4586.0,295.91
4599.0,244.51
4613.0,125.82
4626.0,46.6
4639.0,29.22
4653.0,-2.22
4666.0,-42.17
4679.0,-63.76
4692.0,-93.65
4706.0,-144.96
4719.0,-211.62
4732.0,-272.98
4746.0,-309.78
4759.0,-328.0
4772.0,-322.64
4786.0,-295.38
4799.0,-280.52
4812.0,-282.45
4826.0,-278.45
4839.0,-280.42
4852.0,-287.29
4866.0,-288.03
4879.0,-325.41
4892.0,-389.84
4905.0,-383.9
4919.0,-304.82
4932.0,-272.03
4945.0,-337.33
4959.0,-460.67
4973.0,-616.63
4986.0,-748.28
5000.0,-764.91
5013.0,-682.94
5026.0,-607.02
5040.0,-572.14
5053.0,-536.81
5066.0,-485.53
5080.0,-438.48
5093.0,-401.3
5106.0,-364.0
5120.0,-324.67
5133.0,-288.16
5146.0,-254.77
5159.0,-222.3
5173.0,-190.73
5186.0,-116.31
5199.0,106.08
5213.0,423.73
5226.0,552.73
5239.0,449.78
5253.0,400.09
5266.0,430.03
5279.0,368.72
5293.0,302.66
5306.0,323.25
5319.0,338.86
5332.0,329.52
5346.0,327.09
5359.0,306.11
5372.0,249.8
