Time (ms),Voltage (V)
0.0,44.38
10.0,214.21
19.0,424.39
29.0,455.06
39.0,328.49
50.0,260.23
59.0,274.29
69.0,248.46
79.0,180.73
90.0,141.48
100.0,124.13
109.0,96.41
119.0,57.67
130.0,13.28
140.0,-27.12
149.0,-55.73
159.0,-75.21
169.0,-86.35
180.0,-81.2
189.0,-58.63
199.0,-45.7
209.0,-61.29
220.0,-84.92
229.0,-102.11
239.0,-120.71
249.0,-143.3
260.0,-164.03
270.0,-171.36
279.0,-167.9
289.0,-172.96
300.0,-185.04
310.0,-176.08
319.0,-142.67
329.0,-145.92
339.0,-205.68
350.0,-238.75
359.0,-220.05
369.0,-202.5
379.0,-185.92
390.0,-154.74
399.0,-135.07
409.0,-136.97
419.0,-131.78
430.0,-115.21
440.0,-116.66
449.0,-128.31
459.0,-121.64
470.0,-112.45
480.0,-125.39
489.0,-133.63
499.0,-105.37
509.0,-70.78
520.0,-70.98
529.0,-95.06
539.0,-107.01
549.0,-87.73
560.0,-53.96
570.0,-37.89
579.0,-47.66
589.0,-61.02
600.0,-55.72
610.0,-37.37
619.0,-18.25
629.0,3.62
640.0,22.49
650.0,23.29
659.0,4.51
669.0,-11.99
679.0,3.58
690.0,46.25
699.0,85.74
709.0,93.82
719.0,43.48
730.0,-31.98
740.0,-45.05
749.0,17.23
759.0,79.71
770.0,98.97
780.0,88.68
789.0,61.81
799.0,42.05
809.0,58.04
820.0,86.04
829.0,85.18
839.0,61.32
849.0,43.13
860.0,45.29
869.0,55.77
879.0,56.16
889.0,55.84
900.0,64.69
910.0,65.79
919.0,53.33
929.0,63.78
940.0,106.69
950.0,123.05
959.0,108.27
969.0,114.0
979.0,124.64
990.0,115.98
999.0,110.64
1009.0,118.02
1019.0,111.65
1030.0,64.2
1039.0,14.95
1049.0,19.31
1059.0,51.58
1070.0,62.76
1080.0,54.99
1089.0,64.61
1099.0,83.89
1110.0,73.42
1120.0,53.15
1129.0,44.89
1139.0,48.85
1149.0,82.74
1160.0,111.25
1169.0,85.13
1179.0,37.48
1189.0,25.16
1200.0,47.86
1210.0,62.5
1219.0,58.99
1229.0,54.04
1240.0,43.41
1250.0,33.11
1259.0,29.58
1269.0,32.2
1280.0,49.18
1290.0,58.83
1299.0,45.11
1309.0,27.28
1319.0,15.68
1330.0,22.42
1339.0,41.6
1349.0,41.37
1359.0,19.57
1370.0,-3.22
1380.0,-15.74
1389.0,-26.85
1399.0,-35.63
1410.0,-30.52
1420.0,-33.33
1429.0,-42.37
1439.0,-35.49
1449.0,-31.76
1460.0,-38.41
1469.0,-39.15
1479.0,-27.09
1489.0,-8.98
1500.0,-9.53
1509.0,-25.17
1519.0,-27.76
1529.0,-18.65
1540.0,-16.08
1550.0,-23.52
1559.0,-29.63
1569.0,-36.38
1580.0,-51.76
1590.0,-55.74
1599.0,-48.19
1609.0,-62.41
1619.0,-109.61
1630.0,-178.09
1639.0,-226.65
1649.0,-241.64
1659.0,-276.9
1670.0,-301.75
1679.0,-248.38
1689.0,-185.03
1699.0,-177.23
1710.0,-155.05
1720.0,-67.3
1729.0,7.33
1739.0,16.24
1750.0,19.09
1760.0,50.41
1769.0,83.54
1779.0,108.43
1789.0,132.48
1800.0,154.21
1809.0,168.71
1819.0,185.18
1829.0,202.27
1840.0,190.91
1850.0,167.45
1859.0,171.85
1869.0,189.21
1880.0,190.13
1890.0,174.27
1899.0,168.42
1909.0,183.75
1920.0,192.71
1930.0,173.48
1939.0,128.69
1949.0,88.85
1959.0,73.08
1970.0,61.54
1979.0,71.43
1989.0,135.5
1999.0,237.37
2010.0,328.91
2020.0,362.19
2029.0,357.43
2039.0,348.92
2050.0,318.1
2060.0,265.35
2069.0,212.32
2079.0,166.06
2089.0,123.44
2100.0,60.81
2109.0,-35.05
2119.0,-136.06
2129.0,-236.61
2140.0,-339.53
2149.0,-409.49
2159.0,-424.56
2169.0,-409.55
2180.0,-406.7
2190.0,-408.63
2199.0,-393.02
2209.0,-385.13
2220.0,-393.84
2230.0,-387.47
2239.0,-355.78
2249.0,-328.88
2259.0,-325.26
2270.0,-312.0
2279.0,-269.4
2289.0,-228.93
2299.0,-210.63
2310.0,-196.92
2319.0,-168.61
2329.0,-140.45
2339.0,-138.12
2350.0,-138.68
2360.0,-111.84
2369.0,-85.46
2379.0,-88.68
2390.0,-93.32
2400.0,-56.98
2409.0,-0.32
2419.0,-0.97
2429.0,-78.71
2440.0,-120.79
2449.0,-34.75
2459.0,77.24
2469.0,89.22
2480.0,46.31
2490.0,45.92
2499.0,94.61
2509.0,124.74
2520.0,108.85
2530.0,91.98
2539.0,93.99
2549.0,100.34
2560.0,114.39
2570.0,127.68
2579.0,112.08
2589.0,77.56
2599.0,66.83
2610.0,84.31
2619.0,99.98
2629.0,99.1
2639.0,82.25
2650.0,68.5
2660.0,78.2
2669.0,89.54
2679.0,87.43
2690.0,93.39
2700.0,100.1
2709.0,90.27
2719.0,83.36
2729.0,91.3
2740.0,98.85
2749.0,93.29
2759.0,83.19
2769.0,82.95
2780.0,72.28
2789.0,34.86
2799.0,2.97
2809.0,1.86
2820.0,24.92
2830.0,55.29
2839.0,70.35
2849.0,69.06
2860.0,75.86
2870.0,86.27
2879.0,70.88
2889.0,48.17
2899.0,53.73
2910.0,65.57
2919.0,59.13
2929.0,51.44
2939.0,47.17
2950.0,37.33
2959.0,30.38
2969.0,32.4
2979.0,40.33
2990.0,47.82
3000.0,41.14
3009.0,22.29
3019.0,19.75
3030.0,41.96
3040.0,64.32
3049.0,76.22
3059.0,72.31
3069.0,38.71
3080.0,-4.8
3089.0,-21.27
3099.0,-15.99
3109.0,-27.48
3120.0,-54.02
3130.0,-49.19
3139.0,-18.74
3149.0,-5.14
3160.0,-4.62
3170.0,-4.92
3179.0,-7.11
3189.0,0.73
3200.0,10.32
3210.0,-5.74
3219.0,-36.26
3229.0,-45.79
3239.0,-39.79
3250.0,-43.82
3259.0,-46.41
3269.0,-27.1
3279.0,-8.92
3290.0,-18.85
3300.0,-29.0
3309.0,-15.29
3319.0,4.79
3330.0,26.76
3340.0,31.3
3349.0,-23.99
3359.0,-91.16
3369.0,-68.16
3380.0,10.47
3389.0,19.73
3399.0,-37.28
3409.0,-69.0
3420.0,-61.62
3429.0,-49.54
3439.0,-34.53
3449.0,-9.98
3460.0,7.32
3470.0,8.28
3479.0,2.91
3489.0,-15.67
3500.0,-50.15
3510.0,-62.37
3519.0,-33.77
3529.0,-13.32
3539.0,-30.47
3550.0,-43.2
3559.0,-27.39
3569.0,-17.44
3579.0,-27.85
3590.0,-30.91
3599.0,-14.74
3609.0,5.86
3619.0,11.17
3630.0,-8.38
3640.0,-30.94
3649.0,-37.66
3659.0,-43.79
3670.0,-57.37
3680.0,-68.55
3689.0,-64.4
3699.0,-38.82
3709.0,-16.81
3720.0,-22.07
3729.0,-35.81
3739.0,-35.98
3749.0,-25.11
3760.0,-8.99
3770.0,2.7
3779.0,-4.34
3789.0,-13.0
3800.0,10.94
3810.0,39.06
3819.0,24.63
3829.0,5.59
3840.0,19.19
3850.0,24.91
3859.0,9.91
3869.0,15.47
3879.0,30.81
3890.0,5.37
3899.0,-35.77
3909.0,-35.96
3919.0,-11.14
3930.0,11.31
3940.0,28.9
3949.0,15.71
3959.0,-19.11
3970.0,-17.88
3980.0,4.52
3989.0,-10.33
3999.0,-35.83
4009.0,-32.74
4020.0,-26.62
4029.0,-26.18
4039.0,-23.01
4049.0,-19.72
4060.0,-8.43
4069.0,16.38
4079.0,47.08
4089.0,52.25
4100.0,30.18
4110.0,34.61
4119.0,56.21
4129.0,32.37
4140.0,-20.3
4150.0,-37.57
4159.0,-16.93
4169.0,-11.08
4179.0,-18.92
4190.0,-1.3
4199.0,23.5
4209.0,40.31
4219.0,49.69
4230.0,14.6
4239.0,-49.87
4249.0,-60.66
4259.0,-1.88
4270.0,43.04
4280.0,32.28
4289.0,18.27
4299.0,15.02
4310.0,-4.89
4320.0,-12.63
4329.0,17.74
4339.0,49.24
4349.0,36.12
4360.0,-0.5
4369.0,-7.28
4379.0,3.57
4389.0,5.74
4400.0,9.95
4410.0,12.21
4419.0,9.46
4429.0,17.23
4440.0,38.51
4450.0,56.91
4459.0,58.74
4469.0,53.5
4480.0,50.99
4490.0,52.53
4499.0,57.43
4509.0,43.8
4519.0,14.83
4530.0,6.09
4539.0,13.73
4549.0,6.62
4559.0,-30.08
4570.0,-59.06
4580.0,-40.33
4589.0,-21.16
4599.0,-31.55
4610.0,-28.56
4620.0,-11.4
4629.0,-9.59
4639.0,-10.78
4649.0,6.45
4660.0,-6.85
4669.0,-110.73
4679.0,-243.9
4689.0,-305.61
4700.0,-284.37
4709.0,-235.91
4719.0,-201.48
4729.0,-168.21
4740.0,-130.0
4750.0,-105.8
4759.0,-90.4
4769.0,-67.64
4780.0,-24.73
4790.0,37.81
4799.0,80.71
4809.0,87.34
4819.0,87.59
4830.0,101.33
4839.0,128.36
4849.0,151.91
4859.0,174.62
4870.0,215.55
4879.0,250.38
4889.0,253.51
4899.0,239.38
4910.0,232.28
4920.0,223.35
4929.0,193.2
4939.0,177.18
4950.0,187.59
4960.0,178.57
4969.0,157.98
4979.0,153.43
4989.0,142.6
5000.0,109.91
5009.0,79.05
5019.0,74.68
5029.0,74.03
5040.0,53.29
5050.0,31.35
5059.0,38.8
5069.0,132.21
5080.0,290.87
5090.0,378.88
5099.0,376.3
5109.0,354.96
5120.0,315.65
5130.0,258.74
5139.0,207.24
5149.0,149.44
5159.0,68.67
5170.0,-15.93
5179.0,-87.94
5189.0,-154.36
5199.0,-229.56
5210.0,-312.82
5220.0,-374.09
5229.0,-397.58
5239.0,-399.18
5250.0,-387.45
5260.0,-370.49
5269.0,-371.4
5279.0,-373.58
5289.0,-347.73
5300.0,-311.65
5309.0,-294.17
5319.0,-303.52
5329.0,-302.7
5340.0,-251.89
5349.0,-191.39
5359.0,-184.53
5369.0,-220.34
5380.0,-230.63
5390.0,-190.14
5399.0,-142.32
5409.0,-116.65
5420.0,-107.78
5430.0,-97.21
5439.0,-76.46
5449.0,-67.05
5459.0,-66.53
5470.0,-56.32
5479.0,-64.29
5489.0,-86.28
5499.0,-70.72
5510.0,-33.65
5519.0,-27.05
5529.0,-40.68
5539.0,-33.97
5550.0,-2.26
5560.0,32.52
5569.0,56.9
5579.0,71.65
5590.0,82.5
5600.0,83.1
5609.0,65.1
5619.0,59.0
5629.0,82.74
5640.0,98.89
5649.0,94.81
5659.0,95.84
5669.0,110.49
5680.0,119.55
5690.0,110.82
5699.0,107.35
5709.0,119.68
5720.0,122.47
5730.0,103.63
5739.0,90.28
5749.0,110.21
5760.0,141.23
5770.0,136.57
5779.0,85.73
5789.0,32.08
5799.0,31.05
5810.0,65.39
5819.0,76.98
5829.0,72.96
5839.0,78.87
5850.0,89.98
5860.0,112.01
5869.0,125.52
5879.0,105.35
5890.0,99.21
5900.0,138.51
5909.0,153.77
5919.0,81.3
5929.0,-9.04
5940.0,-7.63
5949.0,53.11
5959.0,77.4
5969.0,62.55
5980.0,49.61
5989.0,43.73
5999.0,36.69
6009.0,34.21
6020.0,34.67
6030.0,32.09
6039.0,36.14
6049.0,39.74
6060.0,21.99
6070.0,4.7
6079.0,18.72
6089.0,34.87
6099.0,19.72
6110.0,5.84
6119.0,15.92
6129.0,19.27
6139.0,14.65
6150.0,17.5
6159.0,5.23
6169.0,-14.08
6179.0,3.34
6190.0,31.13
6200.0,11.4
6209.0,-30.22
6219.0,-48.18
6230.0,-62.83
6240.0,-89.28
6249.0,-96.56
6259.0,-66.74
6269.0,-12.7
6280.0,28.25
6289.0,18.46
6299.0,-15.25
6309.0,-21.41
6320.0,-10.5
6330.0,-15.08
6339.0,-33.81
6349.0,-47.0
6360.0,-45.39
6370.0,-38.81
6379.0,-36.64
6389.0,-37.47
6400.0,-32.7
6410.0,-18.0
6419.0,-16.25
6429.0,-33.76
6439.0,-34.41
6450.0,-23.15
6459.0,-39.67
6469.0,-65.89
6479.0,-65.74
6490.0,-57.35
6500.0,-60.9
6509.0,-58.61
6519.0,-42.63
6530.0,-32.81
6540.0,-34.02
6549.0,-31.67
6559.0,-36.27
6569.0,-61.53
6580.0,-77.31
6589.0,-59.28
6599.0,-32.6
6609.0,-21.98
6620.0,-16.3
6629.0,-1.92
6639.0,5.59
6649.0,-6.63
6660.0,-17.9
6670.0,-16.4
6679.0,-11.5
6689.0,4.54
6700.0,32.53
6710.0,41.58
6719.0,18.82
6729.0,-13.67
6739.0,-34.0
6750.0,-31.77
6759.0,-15.56
6769.0,-7.76
6779.0,-7.72
6790.0,1.65
6799.0,15.85
6809.0,15.56
6819.0,4.54
6830.0,21.2
6840.0,62.42
6849.0,42.55
6859.0,-49.6
6870.0,-88.93
6880.0,-32.36
6889.0,13.29
6899.0,-2.67
6909.0,-20.75
6920.0,-13.83
6929.0,-9.97
6939.0,-13.79
6949.0,-12.87
6960.0,-2.95
6970.0,17.52
6979.0,32.52
6989.0,24.48
7000.0,9.31
7010.0,-4.01
7019.0,-49.12
