Time (ms),Filtered Voltage (V)
0.0,0.015925354520086976
10.0,0.19151320953724754
19.0,1.1056135260983873
29.0,4.118909694454858
39.0,11.263144661573525
50.0,24.43995647113638
59.0,44.476980460235325
69.0,70.75879389227923
79.0,101.45730686588173
90.0,133.92987277646125
100.0,165.09983065069608
109.0,191.88059608916564
119.0,211.59838447572872
130.0,222.2784066877303
140.0,222.7557290992074
149.0,212.6717053450503
159.0,192.42357020872046
169.0,163.09407092061255
180.0,126.35775811452895
189.0,84.36544876740008
199.0,39.61145785668744
209.0,-5.246454067493481
220.0,-47.65316075180832
229.0,-85.46666272572531
239.0,-117.19806559388314
249.0,-142.11064673582604
260.0,-160.1960350233898
270.0,-172.06472103371004
279.0,-178.76471905110907
289.0,-181.554392191196
300.0,-181.69532875679278
310.0,-180.3157128382645
319.0,-178.3153611433534
329.0,-176.27461384221135
339.0,-174.4410432020344
350.0,-172.88359558980292
359.0,-171.70092497375865
369.0,-171.06500817333605
379.0,-171.08616851045684
390.0,-171.66823833318358
399.0,-172.45213285006554
409.0,-172.85222114358106
419.0,-172.18072671784773
430.0,-169.80831180182864
440.0,-165.2777469113554
449.0,-158.36182301264284
459.0,-149.10093411490504
470.0,-137.7998359003157
480.0,-124.96148466532634
489.0,-111.2086905068029
499.0,-97.22135944376434
509.0,-83.63417323115219
520.0,-70.89416660235315
529.0,-59.198916687333494
539.0,-48.58583846426785
549.0,-39.06734013841134
560.0,-30.661023110166337
570.0,-23.304600495155533
579.0,-16.784399805889006
589.0,-10.783084534932145
600.0,-5.008945546548836
610.0,0.7172673739824477
619.0,6.480589271779897
629.0,12.34892615021456
640.0,18.43608359213409
650.0,24.91378081623841
659.0,31.957908748012215
669.0,39.63973254022191
679.0,47.83324036545371
690.0,56.23896658022354
699.0,64.54330652693434
709.0,72.59685573112438
719.0,80.44728953108869
730.0,88.15709766585007
740.0,95.52848481289469
749.0,102.00789362867856
759.0,106.93036319896714
770.0,109.92188415399063
780.0,111.11331438597824
789.0,111.02905404860279
799.0,110.29515470379619
809.0,109.39048910158277
820.0,108.57763637577249
829.0,107.98905559898768
839.0,107.71376506393071
849.0,107.77535889265683
860.0,108.0599250896588
869.0,108.31520971622695
879.0,108.24172328426505
889.0,107.59433416851373
900.0,106.23308093156594
910.0,104.13452597528641
919.0,101.37942546344571
929.0,98.11250327758378
940.0,94.51607272598419
950.0,90.84876189671547
959.0,87.48501014870452
969.0,84.85042286705111
979.0,83.29446701277409
990.0,83.01334179701053
999.0,84.02889021355719
1009.0,86.18494380784806
1019.0,89.17412082604041
1030.0,92.57865594010728
1039.0,95.85720722028721
1049.0,98.30247659736928
1059.0,99.11343704625028
1070.0,97.62718598659983
1080.0,93.54442555921321
1089.0,86.98604754021031
1099.0,78.41574945743386
1110.0,68.53633132729487
1120.0,58.16521557397137
1129.0,48.06753221820359
1139.0,38.81510068763657
1149.0,30.758335112664287
1160.0,24.1145319312983
1169.0,19.07388713015896
1179.0,15.78279688557294
1189.0,14.193122518435155
1200.0,13.959431187459993
1210.0,14.531289826835078
1219.0,15.35669328832654
1229.0,16.018189341464858
1240.0,16.246809085916276
1250.0,15.874803790418202
1259.0,14.788633342423637
1269.0,12.911610465962694
1280.0,10.225392408951297
1290.0,6.816367394627943
1299.0,2.900805902312405
1309.0,-1.2235639824037599
1319.0,-5.2870979594819
1330.0,-9.134464558447313
1339.0,-12.71940258862025
1349.0,-16.026238754158772
1359.0,-19.010568579912995
1370.0,-21.630567296711526
1380.0,-23.93230233112645
1389.0,-26.095303886911893
1399.0,-28.40274261371503
1410.0,-31.166335870702486
1420.0,-34.639842232900826
1429.0,-38.95303485220403
1439.0,-44.09258780965632
1449.0,-49.91340535007969
1460.0,-56.156426313840754
1469.0,-62.48628168139687
1479.0,-68.54566917025961
1489.0,-73.98485435193638
1500.0,-78.45923511093594
1509.0,-81.64831325524099
1519.0,-83.32719074746915
1529.0,-83.43527966621474
1540.0,-82.07457370101837
1550.0,-79.45672292747082
1559.0,-75.86288325426753
1569.0,-71.63072470069633
1580.0,-67.14412162560822
1590.0,-62.81467435434363
1599.0,-59.0460468000046
1609.0,-56.17578705090633
1619.0,-54.44474000768114
1630.0,-54.06395894012246
1639.0,-55.35247039218769
1649.0,-58.810753204412215
1659.0,-65.0359149394869
1670.0,-74.54593796143388
1679.0,-87.61013775640194
1689.0,-104.05884477485283
1699.0,-123.09385286563433
1710.0,-143.2798845588557
1720.0,-162.7565345502424
1729.0,-179.46480949766735
1739.0,-191.30499362971148
1750.0,-196.3750435909147
1760.0,-193.31347857552328
1769.0,-181.54222997084713
1779.0,-161.28488160279016
1789.0,-133.43919363910874
1800.0,-99.40896031491
1809.0,-60.929624052604304
1819.0,-19.89816305779579
1829.0,21.784747109044186
1840.0,62.34907675537806
1850.0,100.2316265015103
1859.0,134.08896031252516
1869.0,162.82384636676227
1880.0,185.6766478081197
1890.0,202.30711475206803
1899.0,212.7777883638997
1909.0,217.47163158353567
1920.0,217.03194583827997
1930.0,212.32319388727143
1939.0,204.32904528792844
1949.0,193.96231489723806
1959.0,181.88521820902736
1970.0,168.4597033555456
1979.0,153.84244377117957
1989.0,138.16776744157886
1999.0,121.79108753435423
2010.0,105.54571295271303
2020.0,90.85732940480833
2029.0,79.5551756567739
2039.0,73.41308058053689
2050.0,73.64804427410637
2060.0,80.57505274942922
2069.0,93.4659275466794
2079.0,110.60310105497868
2089.0,129.51977218809168
2100.0,147.3637828497339
2109.0,161.25709132427244
2119.0,168.5428355813314
2129.0,166.92095929867546
2140.0,154.54759443982442
2149.0,130.1480366396816
2159.0,93.16832741125431
2169.0,43.982756571478184
2180.0,-15.913145180964507
2190.0,-83.88420351704501
2199.0,-156.39212356888387
2209.0,-229.3991219735793
2220.0,-298.8159141625709
2230.0,-360.93433373301764
2239.0,-412.7748576895981
2249.0,-452.26443946337736
2259.0,-478.26117126139525
2270.0,-490.5240367306192
2279.0,-489.649819731623
2289.0,-476.91510005709074
2299.0,-454.0364315422833
2310.0,-422.9597827585943
2319.0,-385.73093403179024
2329.0,-344.390163931016
2339.0,-300.8565185289809
2350.0,-256.8495777369731
2360.0,-213.86708815704128
2369.0,-173.1515562021524
2379.0,-135.62308416283497
2390.0,-101.85867737970149
2400.0,-72.14468804441955
2409.0,-46.50094917941096
